recording_id,vehicles,lane_changes,cutins,events_with_metrics,dhw_min,thw_min,ttc_min,dhw_min_raw_window,thw_min_raw_window,ttc_min_raw_window,finite_thw_events,finite_ttc_events,model_position_reference,validation_dhw_median_abs_error_center,validation_dhw_median_abs_error_rear,validation_dhw_median_abs_error_bbox_topleft
01,1047,118,103,103,7.4599999999999795,0.23466498899024787,4.9931034482758605,-11.17999999999995,-0.34937499999999844,4.9931034482758605,103,33,bbox_topleft,0.3049999999999988,0.10999999999999588,2.1316282072803006e-14
02,1113,107,83,83,8.53000000000003,0.35690376569037785,4.475073313782997,-3.660000000000025,-0.15541401273885455,4.084521384928717,83,28,bbox_topleft,0.355000000000004,0.21000000000000085,2.1316282072803006e-14
03,914,99,78,78,8.0,0.3258655804480652,3.6845637583892628,-7.949999999999989,-0.3289201489449726,3.6826758147512897,78,24,bbox_topleft,0.40500000000000114,0.09999999999999432,2.1316282072803006e-14
04,1163,216,153,153,10.050000000000011,0.3665529010238908,5.718796992481201,-12.25,-0.5149222362337117,4.861836562763272,153,50,bbox_topleft,0.7350000000000243,0.010000000000043308,2.1316282072803006e-14
05,1216,216,160,160,5.7900000000000205,0.16880466472303268,3.8632138114209824,-9.009999999999998,-0.2620709714950552,2.570888468809072,160,49,bbox_topleft,0.6550000000000011,0.09000000000000163,2.1316282072803006e-14
06,1368,261,189,189,8.330000000000041,0.22412008281573564,3.7892720306513366,-8.519999999999982,-0.3619371282922677,1.4047058823529408,189,56,bbox_topleft,0.49500000000000455,0.010000000000019327,2.1316282072803006e-14
07,855,116,99,99,6.670000000000016,0.19681321923871395,3.040697674418607,-9.789999999999964,-0.28567259994163885,2.21472392638037,99,35,bbox_topleft,0.29999999999998295,0.0999999999999659,2.220446049250313e-14
08,1620,233,167,167,9.120000000000005,0.2732993706922387,3.85395537525355,-6.519999999999982,-0.2569964525029555,1.4269776876267732,167,50,bbox_topleft,0.32499999999999574,0.010000000000019327,2.1316282072803006e-14
09,1420,210,156,156,3.7900000000000063,0.1107539450613678,4.250428816466553,-16.960000000000008,-0.49547180835524424,2.908424908424907,156,55,bbox_topleft,0.4049999999999869,0.010000000000019327,2.1316282072803006e-14
10,856,116,93,93,5.689999999999998,0.19929947460595437,5.30146231721035,-3.390000000000015,-0.12273714699493174,4.845959595959594,93,42,bbox_topleft,0.3549999999999969,0.010000000000001563,2.1316282072803006e-14
11,1776,131,126,126,6.53000000000003,0.2756437315322933,4.003759398496243,-1.8500000000000014,-0.07657284768211926,1.7880794701986775,126,57,bbox_topleft,0.2550000000000274,0.20000000000000284,2.1316282072803006e-14
12,2728,192,183,183,4.889999999999986,0.14289888953828173,2.8956043956043853,-20.450000000000017,-1.1132280892759943,0.9186440677966035,183,76,bbox_topleft,0.2500000000000142,0.19999999999997176,1.7763568394002505e-14
13,2949,271,253,253,7.100000000000023,0.26384243775548205,2.988399071925753,-8.530000000000001,-0.3325536062378168,2.7664233576642316,253,102,bbox_topleft,0.2500000000000142,0.10999999999999943,2.1316282072803006e-14
14,2844,236,211,211,4.25,0.15723270440251572,4.428571428571433,0.030000000000001137,0.0012315270935961057,3.5467289719626307,211,69,bbox_topleft,0.22499999999999964,0.10000000000000853,2.1316282072803006e-14
15,922,97,82,82,6.469999999999999,0.25688434303697877,6.67420349434738,-9.870000000000005,-0.41366303436714186,1.9857142857142835,82,23,bbox_topleft,0.30499999999999616,0.010000000000005116,1.7763568394002505e-14
16,998,126,103,103,10.809999999999974,0.4330929487179477,2.926769731489018,-7.300000000000011,-0.2920000000000005,2.5255102040816335,103,23,bbox_topleft,0.40500000000000824,0.00999999999999801,2.1316282072803006e-14
17,977,117,90,90,7.329999999999956,0.18727644353602338,2.161904761904761,-7.0800000000000125,-0.2923657718120805,2.161904761904761,90,21,bbox_topleft,0.3449999999999882,0.009999999999990905,1.7763568394002505e-14
18,607,58,43,43,12.149999999999977,0.3496402877697835,3.130982367758184,-10.360000000000014,-0.36517448008459685,3.1167582417582427,43,13,bbox_topleft,0.3499999999999943,0.009999999999990905,2.1316282072803006e-14
19,999,131,99,99,8.560000000000002,0.32404430153626296,3.1120129870129873,-5.119999999999976,-0.21815083084788991,3.059800664451827,99,31,bbox_topleft,0.355000000000004,0.010000000000001563,2.1316282072803006e-14
20,1199,123,92,92,6.140000000000001,0.26882661996497376,4.988555078683834,-7.519999999999982,-0.31281198003327715,4.803519061583576,92,28,bbox_topleft,0.35499999999996135,0.010000000000012221,1.7763568394002505e-14
