recording_id,rows,vehicles,preceding_overall_accuracy,preceding_accuracy_when_truth_has_neighbor,following_overall_accuracy,following_accuracy_when_truth_has_neighbor,cutin_true_events,cutin_pred_events,cutin_tp,cutin_fp,cutin_fn,cutin_precision,cutin_recall,cutin_f1
01,348750.0,1047.0,1.0,1.0,1.0,1.0,103.0,103.0,103.0,0.0,0.0,1.0,1.0,1.0
02,378115.0,1113.0,1.0,1.0,1.0,1.0,83.0,83.0,83.0,0.0,0.0,1.0,1.0,1.0
03,303488.0,914.0,1.0,1.0,1.0,1.0,78.0,78.0,78.0,0.0,0.0,1.0,1.0,1.0
04,390687.0,1163.0,1.0,1.0,1.0,1.0,153.0,153.0,153.0,0.0,0.0,1.0,1.0,1.0
05,402538.0,1216.0,1.0,1.0,1.0,1.0,160.0,160.0,160.0,0.0,0.0,1.0,1.0,1.0
06,455823.0,1368.0,1.0,1.0,1.0,1.0,189.0,189.0,189.0,0.0,0.0,1.0,1.0,1.0
07,257031.0,855.0,1.0,1.0,1.0,1.0,99.0,99.0,99.0,0.0,0.0,1.0,1.0,1.0
08,482252.0,1620.0,1.0,1.0,1.0,1.0,167.0,167.0,167.0,0.0,0.0,1.0,1.0,1.0
09,436634.0,1420.0,1.0,1.0,1.0,1.0,156.0,156.0,156.0,0.0,0.0,1.0,1.0,1.0
10,258312.0,856.0,0.9999419306884697,0.9999773362116344,0.9999574158382112,0.9999376784662104,93.0,93.0,93.0,0.0,0.0,1.0,1.0,1.0
11,658771.0,1776.0,1.0,1.0,1.0,1.0,126.0,126.0,126.0,0.0,0.0,1.0,1.0,1.0
12,1132881.0,2728.0,1.0,1.0,1.0,1.0,183.0,183.0,183.0,0.0,0.0,1.0,1.0,1.0
13,1044990.0,2949.0,1.0,1.0,1.0,1.0,253.0,253.0,253.0,0.0,0.0,1.0,1.0,1.0
14,981609.0,2844.0,1.0,1.0,1.0,1.0,211.0,211.0,211.0,0.0,0.0,1.0,1.0,1.0
15,311143.0,922.0,1.0,1.0,1.0,1.0,82.0,82.0,82.0,0.0,0.0,1.0,1.0,1.0
16,338052.0,998.0,1.0,1.0,1.0,1.0,103.0,103.0,103.0,0.0,0.0,1.0,1.0,1.0
17,323650.0,977.0,1.0,1.0,1.0,1.0,90.0,90.0,90.0,0.0,0.0,1.0,1.0,1.0
18,190895.0,607.0,1.0,1.0,1.0,1.0,43.0,43.0,43.0,0.0,0.0,1.0,1.0,1.0
19,328294.0,999.0,1.0,1.0,1.0,1.0,99.0,99.0,99.0,0.0,0.0,1.0,1.0,1.0
20,405639.0,1199.0,1.0,1.0,1.0,1.0,92.0,92.0,92.0,0.0,0.0,1.0,1.0,1.0
